gid,name,rank,potential,askStatus,requestType,programHaleyHouse1,programHaleyHouse2,programHaleyHouse3,programHaleyHouse4,programHaleyHouse5,fundingType1,fundingType2,fundingType3,unsolicited_proposals,mission,oldMission,website,street_address,city,state,zip_code,phone,email,contact_first_name,contact_last_name,contact_email,contact_phone_number,notes
1,CJP: Combined Jewish Philanthropies,4,"$5,000.00",denied,r,tbk,,,,,,,,,"advocacy, arts, education, girls, health","Girls' healthy development, education, health, advocacy and the arts.",http://www.cjp.org/boston-jewish-womens-fund-letter-of-intent.aspx,"Combined Jewish Philanthropies, 126 High Street",Boston,MA,02110,(617) 988-6262,,,,,,
2,Bank of America: Critical Needs,3,"$70,000.00",denied,nf,sk,,,,,,,,,Immediate critical needs such as hunger and shelter,,http://about.bankofamerica.com/en-us/partnering-locally/critical-needs.html#fbid=trIQj7Ypw7U,,,,,,,,,,,
3,Bank of America: Workforce Development and Education,3,"$40,000.00",submitting,nf,tep,,,,,,,,,Workforce development and eduation,,http://about.bankofamerica.com/en-us/partnering-locally/workforce-development-education.html#fbid=trIQj7Ypw7U,,,,,,,,,,,
4,Paul and Edith Babson Foundation,1,"$5,000.00",accepted,pd,tbk,mg,,,,,,,,"culture, economic development, entrepreneurship","Entrepreneurship and Economic Development or Culture, Education and Leadership Development or Environment and Community Building (urban gardens or greenspaces!)",http://www.babsonfoundations.org/pegrantaw.htm#2,"77 Summer St., 8th Fl.",Boston,MA,02110 ,,,Hannah,Blaisdell,hblaisdell@gmafoundations.com,(617) 391-3088,
5,Fidelity Foundation,3,"$40,000.00",submitting,,,,,,,,,,,"arts, community development, culture, education, health","Arts and Culture, Community development and social services.  Secondarily, grants are considered in the following fields: Health, Education",http://www.fidelityfoundation.org/,,,,,,info@FidelityFoundation.org,,,,,
6,Foundation for Purposeful Living,2,"$1,000.00",submitting,,,,,,,,,,,"stimulate and encourage projects that contribute to the expansion of human consciousness; the proactive, creative and practical expression of goodwill among all peoples; and the manifestation of human goodness",,http://www.purposefulfoundation.org/,249 Gilbert Rd,Mocksville,NC,27028,(336) 998-3971,foundation@purposeful.org,,,,,
8,Kellogg Foundation,1,"$400,000.00",submitting,,tbk,,,,,,,,,"civic engagement, education, health, racial equality",Community & Civic Engagement (C&CE); and Racial Equity (RE).,http://www.wkkf.org/what-we-support/secure-families/strategies.aspx,1 Michigan Avenue,East Battle Creek,MI,49017,(269) 968-1611,,,,,,
9,Charles Stewart Mott Foundation,1,,submitting,nf,tep,,,,,,,,,"mission of supporting efforts that promote a just, equitable and sustainable society. ",,http://www.mott.org/grantsandguidelines/ForGrantseekers/grantseeker/inquiryletterstep2.aspx,"Mott Foundation Building, 503 S. Saginaw Street, Suite 1200",Flint,MI,48502,(810) 238-5651,,,,,,
10,Krupp Family Foundation,4,"$10,000.00",submitting,pd,aili,mg,,,,,,,,"arts, social justice","Social justice, art, ""helping people help themselves""",http://kruppfamilyfoundation.org/about.html,One Beacon Street,Boston,MA,02108,(617) 579-8329,,Wayne,Zarozny,,,
11,J.E. & Z.B. Butler Foundation,2,"$30,000.00",submitting,nf,tbk,mg,,,,,,,,"education, youth","Youth education, at-risk and special needs, prevention",http://www.butlerfoundation.org/butlerfoundation_grantapplication.htm,40 Stow Street,Concord ,MA,01742,(617) 939-6343,cbp@butlerfoundation.org,Carole ,Parrish,,,
12,Sailors Snug Harbor,1,"$10,000.00",submitting,pd,sk,em,,,,,,,,"elderly, independent elderly living","Elder services, independent elderly living",http://www.sailorssnugharbor.org/?page_id=18,"77 Summer St., 8th Fl.",Boston ,MA,02110,(617) 391-3082,gsimmons@GMAfoundations.com,,,,,
13,Ludcke Foundation,2,"$40,000.00",submitting,nf,sk,tbk,tep,ct,,,,,,"children, education, families, health","Children and families, emotional and physical health, education and social development",http://ludckefoundation.grantsmanagement08.com/?page_id=6,,,,,,,,,,,
15,Mercantile Bank,2,"$10,000.00",submitting,r,sk,,,,,cap,,,,,,,1320 Washington St,Boston,MA,02118,(617) 357-9988,,,,,,
16,Vincent Mulford Foundation,3,"$35,000.00",submitting,r,housing,capital campaign,,,,cap,,,,"homeless, housing",Assisting homeless people obtain and keep housing.,http://www.mulfordfdn.org/guidelines.html,"7 Park Ave, PO Box 635 ",Tuxedo Park,NY,10987,,info@mulfordfdn.org,,,,,
17,NLT Foundation,3,"$5,000.00",submitting,nf,ag,,,,,,,,,arts,Fine arts (not performing arts),http://nltfoundation.grantsmanagement08.com/?page_id=6,"77 Summer St., 8th Fl.",Boston ,MA,02110,(617) 426-7080,,,,,,
18,Nord Family Foundation,4,"$20,000.00",submitting,r,tep,tbk,,,,,,,,"disadvantaged, families","Projects that bring opportunity to the disadvantaged, strengthen the bond of families, and improve the quality of people’s lives
Reform Institute
Boston, MA
in support of public housing advocacy
and homelessness prevention efforts",http://www.nordff.org/,747 Milan Ave,Amherst,OH,44001,(440) 984-3939,,,,,,
19,Open Society Foundations: US Criminal Justice Fund,1,,submitting,nf,tep,,,,,,,,,research,"Policy-driven nonpartisan analysis and research
Public education
Policy advocacy
Community organizing and mobilization
Coalition-building
Impact litigation",http://www.opensocietyfoundations.org/,224 West 57th St,New York,NY,10019,(212) 548-0600,,,,,,
20,Lawrence J and Anne Rubenstein Charitable Foundation,1,"$5,000.00",pending,r,sk,em,,,,,,,,"elderly, health, nutrition, youth","Elder programs, youth programs, health and nutrition",http://lawrence-j-and-anne-rubenstein-charitable-foundation.idilogic.aidpage.com/lawrence-j-and-anne-rubenstein-charitable-foundation/,10 Post Office Sq #960,Boston,MA,02109,,,,,,,
21,State Street Foundation,3,"$30,000.00",submitting,r,,,,,,ops,,,,Education that promotes employability for disadvantaged populations.,,http://www.statestreet.com/wps/portal/internet/corporate/home/aboutstatestreet/corporatecitizenship/statestreetfoundation/grantproposalguidelines/!ut/p/c4/04_SB8K8xLLM9MSSzPy8xBz9CP0os3i_0CADCydDRwN3A0tzA09vE0Nvfw9nY3dvM_3g1Lz40GD9gmxHRQAg2mx2/,2 Morrissey Boulevard,Dorchester,MA,02125,,NEFoundation@sovereignbank.com,"CRA Division Manager, MA1-MB2-03-06",,,,
22,Social Innovation Forum: Youth Violence Prevention through Workforce Development,1,"$50,000.00",denied,r,tbk,mg,,,,,,,,"violence prevention, workforce development, youth",Youth violence prevention through workforce development,http://dorchesteryouthcollaborative.org/programs/sca/,1514 Dorchester Ave,Dorchester,MA,02122,(617) 288-1748,dorchesterdyc@aol.com,Emmett,Folgert,,,
23,TJX Foundation (TJ Maxx),4,"$5,000.00",submitting,nf,,,,,,,,,,community engagement,"Civic/community, domestic violence prevention, education, health, social services,",http://www.tjx.com/corporate_community_foundation_apply.asp,"770 Cochituate Rd, Route 300-1BN",Framingham,MA,01701,(774) 308-3199,tjx_foundation@tjx.com,Christine,Strickland,,,
24,TD Bank,4,,submitting,nf,,,,,,,,,,"Afforable housing, education/financial literacy, and the environment",,http://www.tdbank.com/community/charitable_foundation_grant.html,,,,,,,,,,,
25,Children's Trust Fund,5,,accepted,r,tep,,,,,,,,,,,,,,,,,,,,,,
26,Eastern Bank Partnership Grant,1,"$20,000.00",accepted,nf,hhbc,,,,,cap,,,,,,https://www.easternbank.com/site/about_us/community_involvement/Pages/charitable_foundation.aspx,,,,,,,,,,,
27,Ameriprise Financial Community Relations Grant,3,,submitting,nf,sk,tep,,,,,,,,"basic needs, community development, volunteerism","Basic needs, community development, volunteerism",http://www.ameriprise.com/about-ameriprise-financial/company-information/ameriprise-community-relations.asp,,,,,,communityrelations@ampf.com,,,,,
31,Schrafft Charitable Trust,1,"$15,000.00",submitting,r,tbk,,,,,,,,,"disadvantaged, education, youth",Disadvantaged youth education,http://www.schrafftcharitable.org/?page_id=13,"77 Summer St., 8th Fl.",Boston,MA,02110,,,Karen,Faulkner,,,
33,WalMart State Grant,1,"$25,000.00",submitting,nf,hhbc,sk,tbk,,,,,,,"education, environmental sustainability, workforce development","Workforce development, education, green initiatives",http://www.walmartstores.com/CommunityGiving/223.aspx,,,,,,,,,,,
34,Awesome Foundation,4,"$1,000.00",submitting,nf,hh,,,,,,,,,,Awesome ideas, http://www.awesomefoundation.org,,Cambridge,MA,,,contact@awesomefoundation.org,,,,,
35,Frank W. & Carl S. Adams Memorial Fund (BOA),3,"$20,000.00",submitting,nf,hhbc,tbk,tep,,,,,,,"education, health, human services",Education; Health; Human Services,https://www.bankofamerica.com/philanthropic/foundation.go?fnId=28,,,,,,,,,,,
36,A.C. Ratshesky Foundation,3,"$10,000.00",submitting,nf,sk,tbk,ct,aili,,pgm,,,,"children, education, families, volunteerism","family partnering in early education, employment and self-sufficiency, and active learning for preteens and teens.  Direct service.",http://www.ratsheskyfoundation.org/frequently-asked-questions,77 Summer Street,Boston,MA,02110,(617) 426-7080,,Prentice,Zinn,pzinn@gmafoundation.org,(617) 391-3091,
37,Richard and Susan Smith Family Foundation,5,"$35,000.00",denied,nf,hhbc,,,,,cap,,,,"culture, economically disadvantaged, education, homeless","Healthcare, education, poverty alleviation, culture",http://www.smithfamilyfoundation.net/contact-us/,"One Newton Executive Park, Suite 104",Newton ,MA,02462,(857) 404-0700,info@smithfamilyfoundation.net,,,,,
38,Adams Arts Program (Massachusetts Cultural Council),4,"$10,000.00",submitting,nf,aili,,,,,pgm,,,,"arts, arts (performing), community development, culture",,http://www.massculturalcouncil.org/applications/adamsarts_faqs.asp,"10 St. James Avenue, 3rd Floor",Boston,MA,02116,(617) 858-2700,,Meri,Jenkins,,(617) 858-2716,
39,Bank of America: Perpetual Trust for Charitable Giving,3,"$15,000.00",accepted,nf,sk,hh,,,,,,,,"education, health, human services",Education; Health; Human Services,https://www.bankofamerica.com/philanthropic/foundation.go,"225 Franklin Street, 4th Floor",Boston,MA,02110,,,Melanie,Khoury,melanie.khoury@ustrust.com,(617) 434-4898,
40,Charlesbank Homes,4,"$30,000.00",submitting,r,housing,,,,,cop,,,,,,,"105 Chestnut St, Ste 32",Needham,MA,02492-2520,,,Edward,Rowley,,,
42,Massachusetts Workforce Training Fund,4,,submitting,nf,,,,,,,,,,,,http://www.mass.gov/lwd/employment-services/business-training-support/wtfp/,"2 Oliver Street, 5th Floor",Boston ,MA,02109,(617) 727-8158,,Stephen,Lavery,smlavery@commcorp.org,(617) 717-6906,
43,Green Education Foundation: Green Thumb Challenge Award,4,"$5,000.00",submitting,nf,mg,,,,,,,,,"agriculture, education",Garden education,http://www.greeneducationfoundation.org/index.php?option=com_content&view=article&id=712&Itemid=471,1412 North St,Walpole,MA,02081,(508) 668-2278,service@greeneducationfoundation.org,,,,,
44,ARIA Foundation (Artist Resources in Action),4,"$5,000.00",submitting,nf,aili,sk,,,,,,,,arts,"Former musicians who have fallen on hard times (orgs that offer services), social welfare, arts and culture, environment and clean energy",http://www.ariafoundation.org/grant-recipients.html,"ARIA Foundation, PO Box 351299",Los Angeles,CA,90035,,,,,,,
45,Annie E. Casey Foundation,3,"$50,000.00",submitting,nf,,,,,,,,,,"children, disadvantaged, families",Disadvantaged children and families,http://www.aecf.org/Home/AboutUs/GrantInformation.aspx,701 St. Paul Street,Baltimore,MD,21202,(410) 547-6600,webmail@aecf.org,,,,,
46,Harry and Jeanette Weinberg Foundation,4,"$30,000.00",submitting,nf,em,tep,sk,,,,,,,"disadvantaged, economically disadvantaged, families",to assist financially disadvantaged and vulnerable individuals and families through nonprofit grants to direct-service providers and programs,http://hjweinbergfoundation.org/grants/what-we-fund-what-we-dont/,,,,,,,,,,,
